# (slave) id, asymmetry, rt_m, rt_s, t1, t2, tm1, tm2, offset, delay
# (master) id, rt, t1, t2, tm1, tm2
172, 4537426, 9636523, 5099097, 1678216643842125627, 1678216643844698477, 1678216643845012399, 1678216643847538646, -5941, 2547414
173, 4552146, 9653400, 5101254, 1678216645460053910, 1678216645462603565, 1678216645462923407, 1678216645465475006, 5831, 2546563
174, 4601313, 9700972, 5099659, 1678216646766009938, 1678216646768559293, 1678216646768881215, 1678216646771431519, 2598, 2546563
176, 4492710, 9593621, 5100911, 1678216649285088509, 1678216649287640845, 1678216649287956223, 1678216649290504798, 1922, 2546563
177, 4546943, 9645469, 5098526, 1678216651150394661, 1678216651152947653, 1678216651153191231, 1678216651155736765, -921, 2546937
178, 3819844, 8918826, 5098982, 1678216652538402600, 1678216652540954437, 1678216652541294847, 1678216652543841992, -930, 2548357
181, 4620061, 9720901, 5100840, 1678216653363657867, 1678216653366209757, 1678216653366521327, 1678216653369070277, 129606, 2549595
182, 4583307, 9683815, 5100508, 1678216654029453030, 1678216654032059581, 1678216654032330159, 1678216654034824116, -127878, 2549687
184, 4395861, 9664787, 5268926, 1678216656248912099, 1678216656251644989, 1678216656251973103, 1678216656254509139, 418, 2549798
185, 4563967, 9662501, 5098534, 1678216658163153777, 1678216658165691021, 1678216658166018527, 1678216658168579817, 11818, 2549798
186, 4562098, 9661654, 5099556, 1678216659586452696, 1678216659588994517, 1678216659589333119, 1678216659591890854, 6520, 2549876
187, 4539928, 9638510, 5098582, 1678216659969478526, 1678216659972021453, 1678216659972349423, 1678216659974905078, 5919, 2549878
190, 4506609, 9607375, 5100766, 1678216661016046233, 1678216661018591573, 1678216661018918159, 1678216661021473585, 1101, 2550639
191, 4564557, 9666692, 5102135, 1678216662379652945, 1678216662382201373, 1678216662382528495, 1678216662385082202, 2215, 2550639
192, 4512019, 9613854, 5101835, 1678216664265590071, 1678216664268141797, 1678216664268469375, 1678216664271019484, -551, 2550639
194, 4509716, 9609173, 5099457, 1678216664864917680, 1678216664867467861, 1678216664867801199, 1678216664870350475, -1327, 2550451
195, 4541630, 9641044, 5099414, 1678216665796694348, 1678216665799245589, 1678216665799573167, 1678216665802121340, 822, 2550258
197, 4721972, 9821977, 5100005, 1678216667556989631, 1678216667559540293, 1678216667559869855, 1678216667562419198, -781, 2550423
199, 4546624, 9647268, 5100644, 1678216668417658766, 1678216668420209245, 1678216668420536895, 1678216668423087060, 1673, 2550158
200, 4546274, 9646339, 5100065, 1678216670380275509, 1678216670382937549, 1678216670383265103, 1678216670385703128, -143125, 2550158
202, 4522412, 9646890, 5124478, 1678216671352532063, 1678216671355177013, 1678216671355490383, 1678216671357969911, -46031, 2550097
204, 229706, 5330090, 5100384, 1678216673602997202, 1678216673605535333, 1678216673605845199, 1678216673608407452, 242151, 2550044
205, 4547209, 9647807, 5100598, 1678216674320920451, 1678216674323620229, 1678216674323946383, 1678216674326347203, -214881, 2550044
206, 4543338, 9644074, 5100736, 1678216675289800588, 1678216675292462589, 1678216675292814783, 1678216675295253518, -60168, 2548016
207, 4581199, 9681258, 5100059, 1678216676585185775, 1678216676587733573, 1678216676588059375, 1678216676590611636, 9635, 2545120
208, 4489822, 9589719, 5099897, 1678216676795140878, 1678216676797684789, 1678216676797997247, 1678216676800553233, 23995, 2545120
209, 771635, 9827802, 9056167, 1678216678591308312, 1678216678597800965, 1678216678598105295, 1678216678600668809, 17470, 2545120
210, 4522869, 9625424, 5102555, 1678216679738463723, 1678216679741005925, 1678216679741339167, 1678216679743899520, 7151, 2545120
211, 4557767, 9658342, 5100575, 1678216680953333944, 1678216680955881173, 1678216680956182719, 1678216680958736065, 4211, 2547668
212, 4517436, 9616495, 5099059, 1678216682168198598, 1678216682170749093, 1678216682171073615, 1678216682173622179, -539, 2549541
214, 4522518, 9622341, 5099823, 1678216683999929429, 1678216684002480101, 1678216684002793599, 1678216684005342750, -588, 2550364
215, 4484240, 9586029, 5101789, 1678216684948732802, 1678216684951285509, 1678216684951596591, 1678216684954145673, -541, 2550364
216, 4594166, 9695460, 5101294, 1678216686266240167, 1678216686268791165, 1678216686269117727, 1678216686271668023, -68, 2550460
218, 4494249, 9593582, 5099333, 1678216687054740324, 1678216687057289373, 1678216687057602559, 1678216687060152843, 3242, 2550495
219, 4537420, 9639542, 5102122, 1678216687785032701, 1678216687787582021, 1678216687787907487, 1678216687790460289, -1502, 2550495
220, 4726777, 9825433, 5098656, 1678216689598311399, 1678216689600860349, 1678216689601162255, 1678216689603711961, -679, 2550495
221, 4568566, 9668395, 5099829, 1678216690380297248, 1678216690382846557, 1678216690383172703, 1678216690385723223, -151, 2550495
222, 4406846, 9641133, 5234287, 1678216691903852840, 1678216691906535213, 1678216691906860543, 1678216691909412457, 2242, 2550495
223, 4559205, 9660932, 5101727, 1678216693636956030, 1678216693639507333, 1678216693639753727, 1678216693642304151, 925, 2550445
224, 4490777, 9593782, 5103005, 1678216695165510114, 1678216695168060925, 1678216695168348223, 1678216695170900417, 53, 2550445
225, 4543308, 9643717, 5100409, 1678216695920709835, 1678216695923260781, 1678216695923510735, 1678216695926060198, -685, 2550445
227, 4495018, 9594814, 5099796, 1678216697446451116, 1678216697448999677, 1678216697449266095, 1678216697451817330, 486, 2549968
229, 4558558, 9656764, 5098206, 1678216698579994680, 1678216698582543869, 1678216698582857903, 1678216698585406920, 725, 2550019
230, 4540269, 9640821, 5100552, 1678216700270536939, 1678216700273087749, 1678216700273423759, 1678216700275973501, -2655, 2550469
232, 4480027, 9580205, 5100178, 1678216701911223131, 1678216701913774173, 1678216701914099391, 1678216701916648527, 866, 2550044
234, 4512934, 9611926, 5098992, 1678216703372214633, 1678216703374763229, 1678216703375084127, 1678216703377634523, 2135, 2549787
235, 4602213, 9703348, 5101135, 1678216703948520125, 1678216703951071229, 1678216703951404031, 1678216703953954062, 318, 2549787
237, -3759740, 9682044, 13441784, 1678216705614876702, 1678216705621103413, 1678216705621411439, 1678216705628626512, -861, 2550215
238, 539371, 1636992, 1097621, 1678216707338723902, 1678216707338390109, 1678216707338710911, 1678216707340142325, -3267, 2549846
240, 525164, 1617829, 1092665, 1678216708340406867, 1678216708338078133, 1678216708338399183, 1678216708341820582, 1206226, 2549689
241, 538522, 1628645, 1090123, 1678216710196419701, 1678216710194045293, 1678216710194368879, 1678216710197833410, 698081, 2549689
243, 549271, 1639441, 1090170, 1678216711008756987, 1678216711006699629, 1678216711007012399, 1678216711010159927, 2309039, 678620
244, 550772, 1640638, 1089866, 1678216712986874276, 1678216712987314093, 1678216712987633039, 1678216712988283088, -424166, 635037
245, 491596, 1594322, 1102726, 1678216714656832414, 1678216714657830381, 1678216714658152223, 1678216714658256982, -406503, 584879
246, 535986, 1629855, 1093869, 1678216715933968161, 1678216715934836973, 1678216715935157503, 1678216715935382560, -248601, 571932
248, 500397, 1592130, 1091733, 1678216717540552357, 1678216717541221645, 1678216717541489343, 1678216717541911788, -116003, 546453
249, 555113, 1645807, 1090694, 1678216719450875887, 1678216719451456909, 1678216719451754783, 1678216719452264455, -33726, 550800
250, 482716, 1572211, 1089495, 1678216719937176384, 1678216719937744221, 1678216719938055871, 1678216719938577529, -17091, 555883
251, 473951, 1565646, 1091695, 1678216720713489995, 1678216720714041725, 1678216720714301647, 1678216720714841612, 10520, 543858
252, 536634, 1627720, 1091086, 1678216722084276034, 1678216722084815861, 1678216722085129983, 1678216722085681242, 2683, 543858
254, 552747, 1645260, 1092513, 1678216724287736995, 1678216724288283373, 1678216724288598799, 1678216724289144934, 1069, 543594
255, 537001, 1626174, 1089173, 1678216726050024417, 1678216726050571429, 1678216726050908447, 1678216726051450608, 177, 543594
256, 560443, 1649321, 1088878, 1678216727864821456, 1678216727865406821, 1678216727865716687, 1678216727866220200, -152969, 544751
258, 538062, 1630382, 1092320, 1678216729259989805, 1678216729260621453, 1678216729260947423, 1678216729261408095, -45569, 544751
260, 536696, 1630489, 1093793, 1678216730479668879, 1678216730480223013, 1678216730480550655, 1678216730481090314, 565, 545015
262, 512685, 1605183, 1092498, 1678216731569295945, 1678216731569830445, 1678216731570140047, 1678216731570698045, 14151, 542982
263, 135285, 1224165, 1088880, 1678216732165167714, 1678216732165700605, 1678216732166017311, 1678216732166573300, 147884, 542982
265, 553887, 1643037, 1089150, 1678216733193986771, 1678216733194599125, 1678216733195014383, 1678216733195491179, -124503, 543121
266, 551425, 1642023, 1090598, 1678216734365058269, 1678216734365663221, 1678216734365979311, 1678216734366464957, -33676, 540635
267, 551618, 1645125, 1093507, 1678216735356897579, 1678216735357455157, 1678216735357786399, 1678216735358322328, 4142, 540635
268, 513286, 1604353, 1091067, 1678216736192230161, 1678216736192771645, 1678216736193102591, 1678216736193652174, 11892, 542180
270, 344953, 1561318, 1216365, 1678216736916479861, 1678216736917142829, 1678216736917468223, 1678216736918021620, 9823, 544071
271, 547408, 1637205, 1089797, 1678216738413868380, 1678216738414408677, 1678216738414733551, 1678216738415283051, 3337, 545647
272, 534346, 1626502, 1092156, 1678216740288769391, 1678216740289310861, 1678216740289626815, 1678216740290177501, 3418, 546623
274, 532499, 1626060, 1093561, 1678216742552234114, 1678216742552779581, 1678216742553106191, 1678216742553654285, 3051, 546025
275, 497009, 1587974, 1090965, 1678216742846377804, 1678216742846921541, 1678216742847242895, 1678216742847790123, -352, 546025
276, 688001, 1776834, 1088833, 1678216744284679558, 1678216744285223237, 1678216744285541119, 1678216744286086273, 424, 546025
277, 504483, 1595446, 1090963, 1678216745499722995, 1678216745500267509, 1678216745500448815, 1678216745500995264, 597, 546025
279, 533782, 1625669, 1091887, 1678216746239314930, 1678216746239861733, 1678216746240198111, 1678216746240743195, 999, 546087
280, 536804, 1626788, 1089984, 1678216747721645366, 1678216747722191277, 1678216747722516527, 1678216747723060600, -927, 545769
281, 546684, 1637508, 1090824, 1678216749709760688, 1678216749710305797, 1678216749710625791, 1678216749711171506, -1508, 545667
282, 551761, 1643156, 1091395, 1678216750689314296, 1678216750689859445, 1678216750690168911, 1678216750690715157, 1045, 545523
283, 517695, 1733156, 1215461, 1678216752503989358, 1678216752504657765, 1678216752504967823, 1678216752505514877, 76066, 545667
284, 554951, 1645688, 1090737, 1678216753754114162, 1678216753754727277, 1678216753755101119, 1678216753755578741, -23203, 545523
285, 510027, 1601163, 1091136, 1678216755215076347, 1678216755215634021, 1678216755215958127, 1678216755216491589, -1283, 545365
287, 684996, 1776672, 1091676, 1678216756614848846, 1678216756615389861, 1678216756615658031, 1678216756616208692, 5104, 544952
289, 589049, 1680091, 1091042, 1678216757589888178, 1678216757590425957, 1678216757590753743, 1678216757591307006, 7274, 544157
290, 548123, 1636870, 1088747, 1678216759037093003, 1678216759037634541, 1678216759037955903, 1678216759038503112, 2944, 544157
291, 537680, 1663524, 1125844, 1678216759922486600, 1678216759923031141, 1678216759923343631, 1678216759923924934, -1272, 544157
292, -664, 1091393, 1092057, 1678216761187255623, 1678216761187803349, 1678216761188122847, 1678216761188667178, -139, 544157
293, 550931, 1642148, 1091217, 1678216763018962369, 1678216763019508749, 1678216763019763567, 1678216763020308404, 1616, 544157
295, 540990, 1633845, 1092855, 1678216764230528674, 1678216764231076613, 1678216764231352271, 1678216764231897187, -741, 545412
