# (slave) id, asymmetry, rt_m, rt_s, t1, t2, tm1, tm2, offset, delay
# (master) id, rt, t1, t2, tm1, tm2
134, 19670092, 1678216593595706879, 1678216593600889904, 1678216593601319586, 1678216593615806653
135, 10451952, 1678216594595868079, 1678216594601652961, 1678216594602058127, 1678216594606725197
136, 19628224, 1678216595596022351, 1678216595601209101, 1678216595601682939, 1678216595616124413
137, 10291546, 1678216596596220495, 1678216596601778935, 1678216596602196571, 1678216596606929677
138, 19666364, 1678216597596443231, 1678216597601710384, 1678216597602142386, 1678216597616541597
139, 19667682, 1678216598596645183, 1678216598601863333, 1678216598602294681, 1678216598616744213
140, 19653823, 1678216599596868719, 1678216599602047611, 1678216599602494874, 1678216599616969805
141, 19668457, 1678216600597021151, 1678216600602189889, 1678216600602621302, 1678216600617121021
142, 19778115, 1678216601597192223, 1678216601602408586, 1678216601602831989, 1678216601617393741
143, 19673965, 1678216602597341343, 1678216602602342258, 1678216602602768563, 1678216602617441613
144, 19657363, 1678216603597501791, 1678216603602576709, 1678216603603019488, 1678216603617601933
145, 19695140, 1678216604597650831, 1678216604602706179, 1678216604603110093, 1678216604617749885
146, 19694989, 1678216605597812223, 1678216605602867549, 1678216605603273046, 1678216605617912709
147, 19684064, 1678216606597966607, 1678216606603013491, 1678216606603430153, 1678216606618067333
148, 19707564, 1678216607598122751, 1678216607603170286, 1678216607603563376, 1678216607618223405
149, 19707499, 1678216608598291247, 1678216608603338887, 1678216608603729418, 1678216608618389277
150, 19688914, 1678216609598461919, 1678216609603518713, 1678216609603931581, 1678216609618563701
151, 19673109, 1678216610598617199, 1678216610603669277, 1678216610604094974, 1678216610618716005
152, 19856747, 1678216611598774175, 1678216611603829268, 1678216611604271383, 1678216611619073037
153, 19575190, 1678216612598924543, 1678216612603979732, 1678216612604502820, 1678216612619022821
154, 19662708, 1678216613599085727, 1678216613604144887, 1678216613604583425, 1678216613619186973
155, 19825642, 1678216614599286543, 1678216614604340896, 1678216614604614108, 1678216614619385397
156, 19703524, 1678216615599441263, 1678216615604498465, 1678216615604894139, 1678216615619540461
157, 19681685, 1678216616599592655, 1678216616604650806, 1678216616605069735, 1678216616619693269
158, 19674461, 1678216617599743823, 1678216617604798899, 1678216617605223892, 1678216617619843277
159, 19679212, 1678216618599936479, 1678216618604991271, 1678216618605409969, 1678216618620034389
160, 19675164, 1678216619600093759, 1678216619605150428, 1678216619605574326, 1678216619620192821
161, 19706836, 1678216620600242207, 1678216620605298260, 1678216620605690310, 1678216620620341093
162, 19682029, 1678216621600399807, 1678216621605457207, 1678216621605875256, 1678216621620499885
163, 10389453, 1678216622600593183, 1678216622605927407, 1678216622606340424, 1678216622611395653
164, 19631648, 1678216623600820415, 1678216623605599437, 1678216623606069147, 1678216623620921773
165, 19811506, 1678216624600974431, 1678216624605939221, 1678216624606226113, 1678216624621072829
166, 19629899, 1678216625601145871, 1678216625606203192, 1678216625606673427, 1678216625621246005
167, 19679594, 1678216626602989263, 1678216626608072615, 1678216626608493339, 1678216626623089581
168, 19704293, 1678216627603214575, 1678216627608295036, 1678216627608690061, 1678216627623313893
169, 19680544, 1678216628603369615, 1678216628608442284, 1678216628608861738, 1678216628623469613
170, 19627817, 1678216629603596319, 1678216629608664255, 1678216629609138148, 1678216629623698029
171, 9631728, 1678216630603732959, 1678216630603779959, 1678216630604227565, 1678216630613812293
172, 9663929, 1678216631603866223, 1678216631608894904, 1678216631609305373, 1678216631613940621
173, 9639803, 1678216632604036607, 1678216632610613307, 1678216632611049606, 1678216632614112709
174, 9620889, 1678216633604211807, 1678216633610738017, 1678216633611195566, 1678216633614290245
175, 9665227, 1678216634604357519, 1678216634610401149, 1678216634610812672, 1678216634614434269
176, 9250620, 1678216635604492655, 1678216635608868154, 1678216635609712204, 1678216635614587325
177, 9646760, 1678216636604685039, 1678216636607395144, 1678216636607824942, 1678216636614761597
178, 9603907, 1678216637604906287, 1678216637607053171, 1678216637607525254, 1678216637614982277
179, 9617649, 1678216638605057951, 1678216638607212264, 1678216638607671805, 1678216638615135141
180, 9655432, 1678216639605271743, 1678216639607434794, 1678216639607855064, 1678216639615347445
181, 9642219, 1678216640605404191, 1678216640607682715, 1678216640608114462, 1678216640615478157
182, 9608079, 1678216641605636351, 1678216641608030729, 1678216641608497112, 1678216641615710813
183, 9621640, 1678216642605794095, 1678216642608271092, 1678216642608724762, 1678216642615869405
184, 9608128, 1678216643605949711, 1678216643608472438, 1678216643608940460, 1678216643616025861
185, 9636523, 1678216644606055615, 1678216644608597088, 1678216644609034787, 1678216644616129837
186, 9653400, 1678216645606203999, 1678216645608756393, 1678216645609180879, 1678216645616281885
187, 9632261, 1678216646606397439, 1678216646608947517, 1678216646609392838, 1678216646616475021
188, 9700972, 1678216647606558623, 1678216647609107784, 1678216647609484434, 1678216647616636245
189, 9671285, 1678216648606752655, 1678216648609300197, 1678216648609706870, 1678216648616830613
190, 9593621, 1678216649606907823, 1678216649609456308, 1678216649609940157, 1678216649616985293
191, 9682884, 1678216650607059663, 1678216650609605338, 1678216650610000732, 1678216650617137941
192, 9645469, 1678216651607264895, 1678216651609810911, 1678216651610242768, 1678216651617342221
193, 8918826, 1678216652607419935, 1678216652609967362, 1678216652611126558, 1678216652617497957
194, 9720901, 1678216653607545279, 1678216653610224480, 1678216653610710849, 1678216653617752549
195, 9683815, 1678216654607751839, 1678216654610173648, 1678216654610568071, 1678216654617830077
196, 9647998, 1678216655607911807, 1678216655610419961, 1678216655610847937, 1678216655617987781
197, 9664787, 1678216656608071103, 1678216656610621319, 1678216656611033402, 1678216656618147973
198, 9587216, 1678216657608229807, 1678216657610793986, 1678216657611284176, 1678216657618307213
199, 9662501, 1678216658608369711, 1678216658610931327, 1678216658611345616, 1678216658618446501
200, 9661654, 1678216659608524959, 1678216659611081355, 1678216659611495099, 1678216659618600357
201, 9638510, 1678216660608676687, 1678216660611232484, 1678216660611670188, 1678216660618752901
202, 9607375, 1678216661608830879, 1678216661611382619, 1678216661611850018, 1678216661618905653
203, 9666692, 1678216662608982079, 1678216662611534933, 1678216662611945271, 1678216662619059109
204, 9602254, 1678216663609139135, 1678216663611690578, 1678216663612164970, 1678216663619215781
205, 9613854, 1678216664609295999, 1678216664611846087, 1678216664612308047, 1678216664619371813
206, 9609173, 1678216665609464015, 1678216665612013139, 1678216665612479036, 1678216665619539085
207, 9641044, 1678216666609564367, 1678216666612115447, 1678216666612549929, 1678216666619639893
208, 9821977, 1678216667609719967, 1678216667612269609, 1678216667612522766, 1678216667619795101
209, 9647268, 1678216668609871359, 1678216668612423190, 1678216668612852264, 1678216668619947701
210, 9734438, 1678216669610030751, 1678216669612724736, 1678216669613213464, 1678216669620253917
211, 9646339, 1678216670610184143, 1678216670612591176, 1678216670613024003, 1678216670620263309
212, 9646890, 1678216671610343535, 1678216671612847601, 1678216671613278549, 1678216671620421373
213, 9680209, 1678216672610493935, 1678216672613044100, 1678216672613441073, 1678216672620571117
214, 5330090, 1678216673610634399, 1678216673613426594, 1678216673614344134, 1678216673616882029
215, 9647807, 1678216674610786079, 1678216674613121242, 1678216674613551769, 1678216674620864413
216, 9644074, 1678216675610958047, 1678216675613445895, 1678216675613877739, 1678216675621033965
217, 9681258, 1678216676611106415, 1678216676613661170, 1678216676614055822, 1678216676621182325
218, 9589719, 1678216677611328303, 1678216677613897418, 1678216677614385617, 1678216677621406221
219, 9827802, 1678216678611484303, 1678216678614046893, 1678216678614294889, 1678216678621560101
220, 9575096, 1678216679611708207, 1678216679614266443, 1678216679614765729, 1678216679621782589
221, 9625424, 1678216680611852287, 1678216680614404558, 1678216680614852828, 1678216680621925981
222, 9658342, 1678216681612029471, 1678216681614581350, 1678216681614999990, 1678216681622106453
223, 9616495, 1678216682612178399, 1678216682614727401, 1678216682615187888, 1678216682622255381
224, 9605141, 1678216683612337791, 1678216683614888140, 1678216683615360621, 1678216683622415413
225, 9622341, 1678216684612496607, 1678216684615046383, 1678216684615502512, 1678216684622575077
226, 9586029, 1678216685612673663, 1678216685615223486, 1678216685615714215, 1678216685622750421
227, 9695460, 1678216686612768815, 1678216686615319207, 1678216686615699625, 1678216686622844693
228, 9593582, 1678216687613000975, 1678216687615554712, 1678216687616039856, 1678216687623079701
229, 9639542, 1678216688613171855, 1678216688615720848, 1678216688616157424, 1678216688623247973
230, 9825433, 1678216689613306127, 1678216689615855943, 1678216689616106316, 1678216689623381933
231, 9668395, 1678216690613458287, 1678216690616008631, 1678216690616415794, 1678216690623533845
232, 9590189, 1678216691613622239, 1678216691616172939, 1678216691616658548, 1678216691623698037
233, 9641133, 1678216692613776767, 1678216692616329504, 1678216692616765233, 1678216692623853629
234, 9596750, 1678216693614001007, 1678216693616550138, 1678216693617028818, 1678216693624076437
235, 9660932, 1678216694614166991, 1678216694616718361, 1678216694617133843, 1678216694624243405
236, 9593782, 1678216695614327807, 1678216695616878305, 1678216695617360641, 1678216695624403925
237, 9643717, 1678216696614472927, 1678216696617022687, 1678216696617454776, 1678216696624548733
238, 9594814, 1678216697614687183, 1678216697617237637, 1678216697617718685, 1678216697624763045
239, 9656764, 1678216698614841647, 1678216698617392391, 1678216698617812633, 1678216698624918653
240, 9638606, 1678216699615010303, 1678216699617561590, 1678216699618001054, 1678216699625088373
241, 9640821, 1678216700615190287, 1678216700617738101, 1678216700618173614, 1678216700625266621
242, 9746874, 1678216701615348047, 1678216701617896749, 1678216701618226177, 1678216701625424349
243, 9580205, 1678216702615508127, 1678216702618059037, 1678216702618554198, 1678216702625583493
244, 9611926, 1678216703615664639, 1678216703618216561, 1678216703618680817, 1678216703625740821
245, 9703348, 1678216704615829487, 1678216704618379592, 1678216704618752594, 1678216704625905837
246, 9682044, 1678216705616043791, 1678216705618592776, 1678216705618986698, 1678216705626119757
247, 1650196, 1678216706616261999, 1678216706614801779, 1678216706615208013, 1678216706618318429
248, 1636992, 1678216707616477215, 1678216707619023794, 1678216707619443992, 1678216707618534405
249, 1617829, 1678216708616637039, 1678216708620392954, 1678216708620831547, 1678216708618693461
250, 1733582, 1678216709616792303, 1678216709620690782, 1678216709621158166, 1678216709618993269
251, 1628645, 1678216710617012063, 1678216710620259833, 1678216710620686986, 1678216710619067861
252, 1639441, 1678216711617178687, 1678216711620166346, 1678216711620582623, 1678216711619234405
253, 1624206, 1678216712617323055, 1678216712618232974, 1678216712618667598, 1678216712619381885
254, 1640638, 1678216713617550047, 1678216713617760918, 1678216713618176678, 1678216713619606445
255, 1698801, 1678216714617712847, 1678216714617863984, 1678216714618272301, 1678216714619819965
256, 1594322, 1678216715617875647, 1678216715618054023, 1678216715618516443, 1678216715619932389
257, 1629855, 1678216716618083215, 1678216716618406546, 1678216716618833481, 1678216716620140005
258, 1592130, 1678216717618238367, 1678216717618668817, 1678216717619131661, 1678216717620293341
259, 1643671, 1678216718618372991, 1678216718618856545, 1678216718619270216, 1678216718620430333
260, 1645807, 1678216719618592447, 1678216719619109521, 1678216719619521896, 1678216719620650629
261, 1572211, 1678216720618808431, 1678216720619347223, 1678216720619832434, 1678216720620865853
262, 1565646, 1678216721619025311, 1678216721619579689, 1678216721620071361, 1678216721621082629
263, 1627720, 1678216722619280015, 1678216722619826556, 1678216722620254962, 1678216722621336141
264, 1554991, 1678216723619440079, 1678216723619983169, 1678216723620483240, 1678216723621495141
265, 1645260, 1678216724619661167, 1678216724620205830, 1678216724620616360, 1678216724621716957
266, 1585798, 1678216725619847183, 1678216725620392340, 1678216725620864164, 1678216725621904805
267, 1626174, 1678216726620011183, 1678216726620554954, 1678216726620986370, 1678216726622068773
268, 1735246, 1678216727620223903, 1678216727620917175, 1678216727621391647, 1678216727622433621
269, 1649321, 1678216728620385551, 1678216728620777333, 1678216728621185706, 1678216728622443245
270, 1630382, 1678216729620605599, 1678216729621104781, 1678216729621532421, 1678216729622663621
271, 1630489, 1678216730620760447, 1678216730621306027, 1678216730621733624, 1678216730622818533
272, 1605183, 1678216731620917711, 1678216731621474844, 1678216731621926115, 1678216731622974165
273, 1224165, 1678216732621070879, 1678216732621761745, 1678216732622231386, 1678216732622764685
274, 1643037, 1678216733621230655, 1678216733621649273, 1678216733622062578, 1678216733623286997
275, 1642023, 1678216734621384591, 1678216734621891550, 1678216734622304397, 1678216734623439461
276, 1645125, 1678216735621607663, 1678216735622152440, 1678216735622564121, 1678216735623664469
277, 1604353, 1678216736621782623, 1678216736622336695, 1678216736622789956, 1678216736623840237
278, 1561318, 1678216737621963983, 1678216737622517877, 1678216737623014957, 1678216737624022381
279, 1637205, 1678216738622122607, 1678216738622671591, 1678216738623089416, 1678216738624177637
280, 1632171, 1678216739622279839, 1678216739622832295, 1678216739623257586, 1678216739624337301
281, 1626502, 1678216740622431663, 1678216740622981704, 1678216740623412776, 1678216740624489237
282, 1571974, 1678216741622593599, 1678216741623139669, 1678216741623623133, 1678216741624649037
283, 1626060, 1678216742622748111, 1678216742623297187, 1678216742623728117, 1678216742624805101
284, 1587974, 1678216743622966607, 1678216743623512280, 1678216743623980048, 1678216743625022349
285, 1776834, 1678216744623117135, 1678216744623663584, 1678216744623942964, 1678216744625173349
286, 1595446, 1678216745623271231, 1678216745623817853, 1678216745624279349, 1678216745625328173
287, 1625669, 1678216746623432335, 1678216746623979421, 1678216746624411630, 1678216746625490213
288, 1596974, 1678216747623648431, 1678216747624194063, 1678216747624655839, 1678216747625707181
289, 1626788, 1678216748623863775, 1678216748624408617, 1678216748624840403, 1678216748625922349
290, 1592940, 1678216749624019407, 1678216749624564798, 1678216749625030568, 1678216749626078117
291, 1637508, 1678216750624167647, 1678216750624711806, 1678216750625131248, 1678216750626224597
292, 1643156, 1678216751624325167, 1678216751624871735, 1678216751625286337, 1678216751626382925
293, 1733156, 1678216752624533039, 1678216752625154772, 1678216752625553966, 1678216752626665389
294, 1645020, 1678216753624697887, 1678216753625170245, 1678216753625583495, 1678216753626756157
295, 1645688, 1678216754624908687, 1678216754625431007, 1678216754625842997, 1678216754626966365
296, 1601163, 1678216755625065023, 1678216755625609105, 1678216755626065268, 1678216755627122349
297, 1776672, 1678216756625214575, 1678216756625764631, 1678216756626043189, 1678216756627269805
298, 1680091, 1678216757625379679, 1678216757625931110, 1678216757626305945, 1678216757627434605
299, 1673348, 1678216758625543055, 1678216758626094420, 1678216758626478262, 1678216758627600245
300, 1636870, 1678216759625700735, 1678216759626247836, 1678216759626668092, 1678216759627757861
301, 1663524, 1678216760625911503, 1678216760626454388, 1678216760626846102, 1678216760627966741
302, 1091393, 1678216761626069279, 1678216761626613297, 1678216761627741510, 1678216761628288885
303, 1714124, 1678216762626238351, 1678216762626783251, 1678216762627180629, 1678216762628349853
304, 1642148, 1678216763626454719, 1678216763627000492, 1678216763627415598, 1678216763628511973
305, 1633845, 1678216764626610703, 1678216764627155374, 1678216764627579199, 1678216764628668373
306, 1629116, 1678216765626767871, 1678216765627311949, 1678216765627739359, 1678216765628824397
307, 1656124, 1678216766626942943, 1678216766627488892, 1678216766627889862, 1678216766629000037
308, 1630772, 1678216767627103231, 1678216767627649775, 1678216767628077209, 1678216767629161437
309, 1622845, 1678216768627205631, 1678216768627751423, 1678216768628186568, 1678216768629263621
310, 1624196, 1678216769627359199, 1678216769627904052, 1678216769628336462, 1678216769629415805
311, 1625684, 1678216770627512047, 1678216770628060241, 1678216770628493171, 1678216770629570661
312, 1604646, 1678216771627667247, 1678216771628213423, 1678216771628667247, 1678216771629725717
313, 1640396, 1678216772627819407, 1678216772628364490, 1678216772628781084, 1678216772629876397
314, 1265781, 1678216773627957279, 1678216773628678138, 1678216773629171851, 1678216773629716773
315, 1809116, 1678216774628112111, 1678216774628482965, 1678216774628730319, 1678216774630168581
316, 1630993, 1678216775628330559, 1678216775628823761, 1678216775629248438, 1678216775630386229
317, 1695184, 1678216776628482271, 1678216776629028452, 1678216776629388442, 1678216776630537445
318, 1688413, 1678216777628689487, 1678216777629253461, 1678216777629621958, 1678216777630746397
319, 1607574, 1678216778628890367, 1678216778629450822, 1678216778629898414, 1678216778630945533
320, 1675013, 1678216779629057231, 1678216779629615613, 1678216779629997622, 1678216779631114253
321, 1626040, 1678216780629207711, 1678216780629759157, 1678216780630189467, 1678216780631264061
322, 1617078, 1678216781629349455, 1678216781629897167, 1678216781630335463, 1678216781631404829
323, 1590502, 1678216782629510607, 1678216782630058045, 1678216782630523877, 1678216782631566941
324, 1793881, 1678216783629665855, 1678216783630213623, 1678216783630477684, 1678216783631723797
